AttractionId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress
1312,3,0,Cultural Heritage Center - N'Djamena,"Main Street, N'Djamena, Chad"
1313,3,0,Farmers' Market - N'Djamena,"Main Street, N'Djamena, Chad"
1314,5,0,National Park - Kigali Province,"Main Street, Kigali Province, Rwanda"
1315,5,0,Crystal Bay - Kigali Province,"Main Street, Kigali Province, Rwanda"
1316,5,0,Science Museum - Kigali Province,"Main Street, Kigali Province, Rwanda"
1317,5,0,Cathedral - Kigali Province,"Main Street, Kigali Province, Rwanda"
1318,4,0,Golden Sand Beach - Kigali,"Main Street, Kigali, Rwanda"
1319,4,0,Grand Mosque - Kigali,"Main Street, Kigali, Rwanda"
1320,4,0,Local Bazaar - Kigali,"Main Street, Kigali, Rwanda"
1321,4,0,Cultural Heritage Center - Kigali,"Main Street, Kigali, Rwanda"
1322,6,0,Sunset Cove - Addis Ababa,"Main Street, Addis Ababa, Ethiopia"
1323,6,0,National Park - Addis Ababa,"Main Street, Addis Ababa, Ethiopia"
1324,6,0,Farmers' Market - Addis Ababa,"Main Street, Addis Ababa, Ethiopia"
1325,6,0,Eco Park - Addis Ababa,"Main Street, Addis Ababa, Ethiopia"
1326,7,0,Ancient Temple - Karen,"Main Street, Karen, Kenya"
1327,7,0,National Park - Karen,"Main Street, Karen, Kenya"
1328,7,0,Cathedral - Karen,"Main Street, Karen, Kenya"
1329,7,0,Golden Sand Beach - Karen,"Main Street, Karen, Kenya"
1330,8,0,Cathedral - Kenya,"Main Street, Kenya, Kenya"
1331,8,0,Cultural Heritage Center - Kenya,"Main Street, Kenya, Kenya"
1332,8,0,Crystal Bay - Kenya,"Main Street, Kenya, Kenya"
1333,8,0,Grand Mosque - Kenya,"Main Street, Kenya, Kenya"
1334,12,0,Sacred Shrine - Shimoni,"Main Street, Shimoni, Kenya"
1335,12,0,Ancient Temple - Shimoni,"Main Street, Shimoni, Kenya"
1336,12,0,Cathedral - Shimoni,"Main Street, Shimoni, Kenya"
1337,12,0,History Museum - Shimoni,"Main Street, Shimoni, Kenya"
1338,18,0,Local Bazaar - Mauritius,"Main Street, Mauritius, Mauritius"
1339,18,0,National Park - Mauritius,"Main Street, Mauritius, Mauritius"
1340,18,0,Night Market - Mauritius,"Main Street, Mauritius, Mauritius"
1341,18,0,Paradise Beach - Mauritius,"Main Street, Mauritius, Mauritius"
1342,13,0,Farmers' Market - Bel Ombre,"Main Street, Bel Ombre, Mauritius"
1343,13,0,History Museum - Bel Ombre,"Main Street, Bel Ombre, Mauritius"
1344,13,0,Flea Market - Bel Ombre,"Main Street, Bel Ombre, Mauritius"
1345,13,0,Grand Mosque - Bel Ombre,"Main Street, Bel Ombre, Mauritius"
1346,22,0,History Museum - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius"
1347,22,0,Sacred Shrine - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius"
1348,22,0,Golden Sand Beach - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius"
1349,22,0,Sunset Cove - Quatre Bornes,"Main Street, Quatre Bornes, Mauritius"
1350,24,0,Farmers' Market - Cerf Island,"Main Street, Cerf Island, Seychelles"
1351,24,0,Local Bazaar - Cerf Island,"Main Street, Cerf Island, Seychelles"
1352,24,0,Cathedral - Cerf Island,"Main Street, Cerf Island, Seychelles"
1353,24,0,Cathedral - Cerf Island,"Main Street, Cerf Island, Seychelles"
1354,25,0,Night Market - Mahe Island,"Main Street, Mahe Island, Seychelles"
1355,25,0,Cathedral - Mahe Island,"Main Street, Mahe Island, Seychelles"
1356,25,0,History Museum - Mahe Island,"Main Street, Mahe Island, Seychelles"
1357,25,0,Sacred Shrine - Mahe Island,"Main Street, Mahe Island, Seychelles"
1358,26,0,Botanical Garden - Victoria,"Main Street, Victoria, Seychelles"
1359,26,0,Sunset Cove - Victoria,"Main Street, Victoria, Seychelles"
1360,26,0,Cultural Heritage Center - Victoria,"Main Street, Victoria, Seychelles"
1361,26,0,Science Museum - Victoria,"Main Street, Victoria, Seychelles"
1362,28,0,Night Market - Port Sudan,"Main Street, Port Sudan, Sudan"
1363,28,0,Farmers' Market - Port Sudan,"Main Street, Port Sudan, Sudan"
1364,28,0,Science Museum - Port Sudan,"Main Street, Port Sudan, Sudan"
1365,28,0,Sunset Cove - Port Sudan,"Main Street, Port Sudan, Sudan"
1366,30,0,Farmers' Market - Sudan,"Main Street, Sudan, Sudan"
1367,30,0,Botanical Garden - Sudan,"Main Street, Sudan, Sudan"
1368,30,0,History Museum - Sudan,"Main Street, Sudan, Sudan"
1369,30,0,Golden Sand Beach - Sudan,"Main Street, Sudan, Sudan"
1370,27,0,Golden Sand Beach - Khartoum,"Main Street, Khartoum, Sudan"
1371,27,0,Botanical Garden - Khartoum,"Main Street, Khartoum, Sudan"
1372,27,0,Paradise Beach - Khartoum,"Main Street, Khartoum, Sudan"
1373,27,0,Eco Park - Khartoum,"Main Street, Khartoum, Sudan"
1374,31,0,Night Market - Arusha,"Main Street, Arusha, Tanzania"
1375,31,0,Flea Market - Arusha,"Main Street, Arusha, Tanzania"
1376,31,0,Farmers' Market - Arusha,"Main Street, Arusha, Tanzania"
1377,31,0,Night Market - Arusha,"Main Street, Arusha, Tanzania"
1378,32,0,Golden Sand Beach - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania"
1379,32,0,Cathedral - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania"
1380,32,0,National Park - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania"
1381,32,0,Crystal Bay - Dar es Salaam,"Main Street, Dar es Salaam, Tanzania"
1382,36,0,Wildlife Reserve - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania"
1383,36,0,Flea Market - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania"
1384,36,0,Crystal Bay - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania"
1385,36,0,Golden Sand Beach - Zanzibar Island,"Main Street, Zanzibar Island, Tanzania"
1386,37,0,Sacred Shrine - Kampala,"Main Street, Kampala, Uganda"
1387,37,0,Grand Mosque - Kampala,"Main Street, Kampala, Uganda"
1388,37,0,Botanical Garden - Kampala,"Main Street, Kampala, Uganda"
1389,37,0,Crystal Bay - Kampala,"Main Street, Kampala, Uganda"
1390,39,0,Sunset Cove - Lusaka,"Main Street, Lusaka, Zambia"
1391,39,0,Cultural Heritage Center - Lusaka,"Main Street, Lusaka, Zambia"
1392,39,0,Art Gallery - Lusaka,"Main Street, Lusaka, Zambia"
1393,39,0,Ancient Temple - Lusaka,"Main Street, Lusaka, Zambia"
1394,42,0,History Museum - Victoria Falls,"Main Street, Victoria Falls, Zambia"
1395,42,0,Golden Sand Beach - Victoria Falls,"Main Street, Victoria Falls, Zambia"
1396,42,0,Cultural Heritage Center - Victoria Falls,"Main Street, Victoria Falls, Zambia"
1397,42,0,National Park - Victoria Falls,"Main Street, Victoria Falls, Zambia"
1398,40,0,Flea Market - Solwezi,"Main Street, Solwezi, Zambia"
1399,40,0,Grand Mosque - Solwezi,"Main Street, Solwezi, Zambia"
1400,40,0,Science Museum - Solwezi,"Main Street, Solwezi, Zambia"
1401,40,0,Eco Park - Solwezi,"Main Street, Solwezi, Zambia"
1402,43,0,Local Bazaar - Harare,"Main Street, Harare, Zimbabwe"
1403,43,0,Golden Sand Beach - Harare,"Main Street, Harare, Zimbabwe"
1404,43,0,Science Museum - Harare,"Main Street, Harare, Zimbabwe"
1405,43,0,History Museum - Harare,"Main Street, Harare, Zimbabwe"
1406,45,0,Paradise Beach - Algiers,"Main Street, Algiers, Algeria"
1407,45,0,Crystal Bay - Algiers,"Main Street, Algiers, Algeria"
1408,45,0,Flea Market - Algiers,"Main Street, Algiers, Algeria"
1409,45,0,Ancient Temple - Algiers,"Main Street, Algiers, Algeria"
1410,47,0,Eco Park - Oran,"Main Street, Oran, Algeria"
1411,47,0,Golden Sand Beach - Oran,"Main Street, Oran, Algeria"
1412,47,0,Cultural Heritage Center - Oran,"Main Street, Oran, Algeria"
1413,47,0,Farmers' Market - Oran,"Main Street, Oran, Algeria"
1414,44,0,Art Gallery - Alger,"Main Street, Alger, Algeria"
1415,44,0,Night Market - Alger,"Main Street, Alger, Algeria"
1416,44,0,Night Market - Alger,"Main Street, Alger, Algeria"
1417,44,0,Botanical Garden - Alger,"Main Street, Alger, Algeria"
1418,48,0,Cathedral - Ad Duqqi,"Main Street, Ad Duqqi, Egypt"
1419,48,0,Sacred Shrine - Ad Duqqi,"Main Street, Ad Duqqi, Egypt"
1420,48,0,Paradise Beach - Ad Duqqi,"Main Street, Ad Duqqi, Egypt"
1421,48,0,Golden Sand Beach - Ad Duqqi,"Main Street, Ad Duqqi, Egypt"
1422,49,0,Ancient Temple - Al Rehab,"Main Street, Al Rehab, Egypt"
1423,49,0,Flea Market - Al Rehab,"Main Street, Al Rehab, Egypt"
1424,49,0,Botanical Garden - Al Rehab,"Main Street, Al Rehab, Egypt"
1425,49,0,Botanical Garden - Al Rehab,"Main Street, Al Rehab, Egypt"
1426,56,0,Flea Market - El Alamein,"Main Street, El Alamein, Egypt"
1427,56,0,Local Bazaar - El Alamein,"Main Street, El Alamein, Egypt"
1428,56,0,Grand Mosque - El Alamein,"Main Street, El Alamein, Egypt"
1429,56,0,History Museum - El Alamein,"Main Street, El Alamein, Egypt"
1430,73,0,Cathedral - Oujda,"Main Street, Oujda, Morocco"
1431,73,0,Cultural Heritage Center - Oujda,"Main Street, Oujda, Morocco"
1432,73,0,Grand Mosque - Oujda,"Main Street, Oujda, Morocco"
1433,73,0,Crystal Bay - Oujda,"Main Street, Oujda, Morocco"
1434,67,0,Farmers' Market - Chefchaouen,"Main Street, Chefchaouen, Morocco"
1435,67,0,Art Gallery - Chefchaouen,"Main Street, Chefchaouen, Morocco"
1436,67,0,Art Gallery - Chefchaouen,"Main Street, Chefchaouen, Morocco"
1437,67,0,Art Gallery - Chefchaouen,"Main Street, Chefchaouen, Morocco"
1438,71,0,Sacred Shrine - Merzouga,"Main Street, Merzouga, Morocco"
1439,71,0,Sacred Shrine - Merzouga,"Main Street, Merzouga, Morocco"
1440,71,0,Wildlife Reserve - Merzouga,"Main Street, Merzouga, Morocco"
1441,71,0,Art Gallery - Merzouga,"Main Street, Merzouga, Morocco"
1442,75,0,Science Museum - Bizerte,"Main Street, Bizerte, Tunisia"
1443,75,0,Crystal Bay - Bizerte,"Main Street, Bizerte, Tunisia"
1444,75,0,Art Gallery - Bizerte,"Main Street, Bizerte, Tunisia"
1445,75,0,National Park - Bizerte,"Main Street, Bizerte, Tunisia"
1446,76,0,Art Gallery - Carthage,"Main Street, Carthage, Tunisia"
1447,76,0,Night Market - Carthage,"Main Street, Carthage, Tunisia"
1448,76,0,Local Bazaar - Carthage,"Main Street, Carthage, Tunisia"
1449,76,0,Ancient Temple - Carthage,"Main Street, Carthage, Tunisia"
1450,80,0,Crystal Bay - Tunis,"Main Street, Tunis, Tunisia"
1451,80,0,History Museum - Tunis,"Main Street, Tunis, Tunisia"
1452,80,0,Sunset Cove - Tunis,"Main Street, Tunis, Tunisia"
1453,80,0,Sacred Shrine - Tunis,"Main Street, Tunis, Tunisia"
1454,82,0,Grand Mosque - Luanda,"Main Street, Luanda, Angola"
1455,82,0,Sacred Shrine - Luanda,"Main Street, Luanda, Angola"
1456,82,0,Sunset Cove - Luanda,"Main Street, Luanda, Angola"
1457,82,0,Grand Mosque - Luanda,"Main Street, Luanda, Angola"
1458,84,0,Cathedral - Gaborone,"Main Street, Gaborone, Botswana"
1459,84,0,Sunset Cove - Gaborone,"Main Street, Gaborone, Botswana"
1460,84,0,Ancient Temple - Gaborone,"Main Street, Gaborone, Botswana"
1461,84,0,Art Gallery - Gaborone,"Main Street, Gaborone, Botswana"
1462,83,0,Science Museum - Botswana,"Main Street, Botswana, Botswana"
1463,83,0,Cultural Heritage Center - Botswana,"Main Street, Botswana, Botswana"
1464,83,0,Wildlife Reserve - Botswana,"Main Street, Botswana, Botswana"
1465,83,0,Sunset Cove - Botswana,"Main Street, Botswana, Botswana"
1466,85,0,Cathedral - Chintheche,"Main Street, Chintheche, Malawi"
1467,85,0,Crystal Bay - Chintheche,"Main Street, Chintheche, Malawi"
1468,85,0,Wildlife Reserve - Chintheche,"Main Street, Chintheche, Malawi"
1469,85,0,Cultural Heritage Center - Chintheche,"Main Street, Chintheche, Malawi"
1470,87,0,Cultural Heritage Center - Mozambique,"Main Street, Mozambique, Mozambique"
1471,87,0,Flea Market - Mozambique,"Main Street, Mozambique, Mozambique"
1472,87,0,Golden Sand Beach - Mozambique,"Main Street, Mozambique, Mozambique"
1473,87,0,Flea Market - Mozambique,"Main Street, Mozambique, Mozambique"
1474,89,0,Flea Market - Tofinho,"Main Street, Tofinho, Mozambique"
1475,89,0,Ancient Temple - Tofinho,"Main Street, Tofinho, Mozambique"
1476,89,0,Cultural Heritage Center - Tofinho,"Main Street, Tofinho, Mozambique"
1477,89,0,National Park - Tofinho,"Main Street, Tofinho, Mozambique"
1478,86,0,Paradise Beach - Maputo,"Main Street, Maputo, Mozambique"
1479,86,0,Paradise Beach - Maputo,"Main Street, Maputo, Mozambique"
1480,86,0,National Park - Maputo,"Main Street, Maputo, Mozambique"
1481,86,0,Night Market - Maputo,"Main Street, Maputo, Mozambique"
1482,90,0,Cultural Heritage Center - Swakopmund,"Main Street, Swakopmund, Namibia"
1483,90,0,Farmers' Market - Swakopmund,"Main Street, Swakopmund, Namibia"
1484,90,0,Sunset Cove - Swakopmund,"Main Street, Swakopmund, Namibia"
1485,90,0,Local Bazaar - Swakopmund,"Main Street, Swakopmund, Namibia"
1486,91,0,Science Museum - Walvis Bay,"Main Street, Walvis Bay, Namibia"
1487,91,0,Wildlife Reserve - Walvis Bay,"Main Street, Walvis Bay, Namibia"
1488,91,0,Art Gallery - Walvis Bay,"Main Street, Walvis Bay, Namibia"
1489,91,0,Art Gallery - Walvis Bay,"Main Street, Walvis Bay, Namibia"
1490,92,0,Flea Market - Windhoek,"Main Street, Windhoek, Namibia"
1491,92,0,Crystal Bay - Windhoek,"Main Street, Windhoek, Namibia"
1492,92,0,Science Museum - Windhoek,"Main Street, Windhoek, Namibia"
1493,92,0,Botanical Garden - Windhoek,"Main Street, Windhoek, Namibia"
1494,137,0,Night Market - Johannesburg South,"Main Street, Johannesburg South, South Africa"
1495,137,0,Wildlife Reserve - Johannesburg South,"Main Street, Johannesburg South, South Africa"
1496,137,0,Crystal Bay - Johannesburg South,"Main Street, Johannesburg South, South Africa"
1497,137,0,Science Museum - Johannesburg South,"Main Street, Johannesburg South, South Africa"
1498,140,0,Art Gallery - Kemptonpark,"Main Street, Kemptonpark, South Africa"
1499,140,0,Wildlife Reserve - Kemptonpark,"Main Street, Kemptonpark, South Africa"
1500,140,0,Cultural Heritage Center - Kemptonpark,"Main Street, Kemptonpark, South Africa"
1501,140,0,Cathedral - Kemptonpark,"Main Street, Kemptonpark, South Africa"
1502,97,0,National Park - Benoni,"Main Street, Benoni, South Africa"
1503,97,0,Eco Park - Benoni,"Main Street, Benoni, South Africa"
1504,97,0,Eco Park - Benoni,"Main Street, Benoni, South Africa"
1505,97,0,Eco Park - Benoni,"Main Street, Benoni, South Africa"
1506,213,0,Grand Mosque - Ouagadougou,"Main Street, Ouagadougou, Burkina Faso"
1507,213,0,Art Gallery - Ouagadougou,"Main Street, Ouagadougou, Burkina Faso"
1508,213,0,National Park - Ouagadougou,"Main Street, Ouagadougou, Burkina Faso"
1509,213,0,Night Market - Ouagadougou,"Main Street, Ouagadougou, Burkina Faso"
1510,214,0,Farmers' Market - Santa Maria,"Main Street, Santa Maria, Cape Verde"
1511,214,0,Local Bazaar - Santa Maria,"Main Street, Santa Maria, Cape Verde"
1512,214,0,Golden Sand Beach - Santa Maria,"Main Street, Santa Maria, Cape Verde"
1513,214,0,Grand Mosque - Santa Maria,"Main Street, Santa Maria, Cape Verde"
1514,215,0,Grand Mosque - Abidjan,"Main Street, Abidjan, Côte d'Ivoire"
1515,215,0,Golden Sand Beach - Abidjan,"Main Street, Abidjan, Côte d'Ivoire"
1516,215,0,Golden Sand Beach - Abidjan,"Main Street, Abidjan, Côte d'Ivoire"
1517,215,0,Wildlife Reserve - Abidjan,"Main Street, Abidjan, Côte d'Ivoire"
1518,217,0,Night Market - Kumasi,"Main Street, Kumasi, Ghana"
1519,217,0,Grand Mosque - Kumasi,"Main Street, Kumasi, Ghana"
1520,217,0,Local Bazaar - Kumasi,"Main Street, Kumasi, Ghana"
1521,217,0,Crystal Bay - Kumasi,"Main Street, Kumasi, Ghana"
1522,216,0,National Park - Accra,"Main Street, Accra, Ghana"
1523,216,0,Crystal Bay - Accra,"Main Street, Accra, Ghana"
1524,216,0,Farmers' Market - Accra,"Main Street, Accra, Ghana"
1525,216,0,Cultural Heritage Center - Accra,"Main Street, Accra, Ghana"
1526,219,0,Eco Park - Ilorin,"Main Street, Ilorin, NIGERIA"
1527,219,0,Flea Market - Ilorin,"Main Street, Ilorin, NIGERIA"
1528,219,0,History Museum - Ilorin,"Main Street, Ilorin, NIGERIA"
1529,219,0,Farmers' Market - Ilorin,"Main Street, Ilorin, NIGERIA"
1530,222,0,Cathedral - Port Harcourt,"Main Street, Port Harcourt, NIGERIA"
1531,222,0,Science Museum - Port Harcourt,"Main Street, Port Harcourt, NIGERIA"
1532,222,0,Flea Market - Port Harcourt,"Main Street, Port Harcourt, NIGERIA"
1533,222,0,Art Gallery - Port Harcourt,"Main Street, Port Harcourt, NIGERIA"
1534,220,0,Night Market - Lagos,"Main Street, Lagos, NIGERIA"
1535,220,0,Eco Park - Lagos,"Main Street, Lagos, NIGERIA"
1536,220,0,Crystal Bay - Lagos,"Main Street, Lagos, NIGERIA"
1537,220,0,Night Market - Lagos,"Main Street, Lagos, NIGERIA"
1538,224,0,National Park - Saly,"Main Street, Saly, Senegal"
1539,224,0,Local Bazaar - Saly,"Main Street, Saly, Senegal"
1540,224,0,Ancient Temple - Saly,"Main Street, Saly, Senegal"
1541,224,0,Wildlife Reserve - Saly,"Main Street, Saly, Senegal"
1542,223,0,Paradise Beach - Dakar,"Main Street, Dakar, Senegal"
1543,223,0,Local Bazaar - Dakar,"Main Street, Dakar, Senegal"
1544,223,0,Cathedral - Dakar,"Main Street, Dakar, Senegal"
1545,223,0,Sacred Shrine - Dakar,"Main Street, Dakar, Senegal"
1546,225,0,Local Bazaar - Antigua and Barbuda,"Main Street, Antigua and Barbuda, Antigua and Barbuda"
1547,225,0,Botanical Garden - Antigua and Barbuda,"Main Street, Antigua and Barbuda, Antigua and Barbuda"
1548,225,0,Local Bazaar - Antigua and Barbuda,"Main Street, Antigua and Barbuda, Antigua and Barbuda"
1549,225,0,Wildlife Reserve - Antigua and Barbuda,"Main Street, Antigua and Barbuda, Antigua and Barbuda"
1550,227,0,Night Market - New Providence Island,"Main Street, New Providence Island, Bahamas"
1551,227,0,Grand Mosque - New Providence Island,"Main Street, New Providence Island, Bahamas"
1552,227,0,Night Market - New Providence Island,"Main Street, New Providence Island, Bahamas"
1553,227,0,Crystal Bay - New Providence Island,"Main Street, New Providence Island, Bahamas"
1554,226,0,Cultural Heritage Center - Nassau,"Main Street, Nassau, Bahamas"
1555,226,0,Cathedral - Nassau,"Main Street, Nassau, Bahamas"
1556,226,0,Eco Park - Nassau,"Main Street, Nassau, Bahamas"
1557,226,0,Grand Mosque - Nassau,"Main Street, Nassau, Bahamas"
1558,229,0,Wildlife Reserve - Saint Philip Parish,"Main Street, Saint Philip Parish, Barbados"
1559,229,0,Local Bazaar - Saint Philip Parish,"Main Street, Saint Philip Parish, Barbados"
1560,229,0,Science Museum - Saint Philip Parish,"Main Street, Saint Philip Parish, Barbados"
1561,229,0,Golden Sand Beach - Saint Philip Parish,"Main Street, Saint Philip Parish, Barbados"
1562,228,0,Cathedral - Bridgetown,"Main Street, Bridgetown, Barbados"
1563,228,0,Eco Park - Bridgetown,"Main Street, Bridgetown, Barbados"
1564,228,0,National Park - Bridgetown,"Main Street, Bridgetown, Barbados"
1565,228,0,Art Gallery - Bridgetown,"Main Street, Bridgetown, Barbados"
1566,230,0,History Museum - Cayman Island,"Main Street, Cayman Island, Cayman Island"
1567,230,0,Botanical Garden - Cayman Island,"Main Street, Cayman Island, Cayman Island"
1568,230,0,Science Museum - Cayman Island,"Main Street, Cayman Island, Cayman Island"
1569,230,0,Art Gallery - Cayman Island,"Main Street, Cayman Island, Cayman Island"
1570,231,0,Science Museum - Havana,"Main Street, Havana, Cuba"
1571,231,0,Farmers' Market - Havana,"Main Street, Havana, Cuba"
1572,231,0,Local Bazaar - Havana,"Main Street, Havana, Cuba"
1573,231,0,Art Gallery - Havana,"Main Street, Havana, Cuba"
1574,232,0,Eco Park - CuraÃ§ao,"Main Street, CuraÃ§ao, Curacao"
1575,232,0,Local Bazaar - CuraÃ§ao,"Main Street, CuraÃ§ao, Curacao"
1576,232,0,Cathedral - CuraÃ§ao,"Main Street, CuraÃ§ao, Curacao"
1577,232,0,Cultural Heritage Center - CuraÃ§ao,"Main Street, CuraÃ§ao, Curacao"
1578,233,0,Cathedral - Curacao,"Main Street, Curacao, Curacao"
1579,233,0,Science Museum - Curacao,"Main Street, Curacao, Curacao"
1580,233,0,History Museum - Curacao,"Main Street, Curacao, Curacao"
1581,233,0,Cathedral - Curacao,"Main Street, Curacao, Curacao"
1582,234,0,Sacred Shrine - Willemstad,"Main Street, Willemstad, Curacao"
1583,234,0,Flea Market - Willemstad,"Main Street, Willemstad, Curacao"
1584,234,0,Botanical Garden - Willemstad,"Main Street, Willemstad, Curacao"
1585,234,0,Local Bazaar - Willemstad,"Main Street, Willemstad, Curacao"
1586,235,0,Science Museum - Dominican Republic,"Main Street, Dominican Republic, Dominican Republic"
1587,235,0,Ancient Temple - Dominican Republic,"Main Street, Dominican Republic, Dominican Republic"
1588,235,0,Grand Mosque - Dominican Republic,"Main Street, Dominican Republic, Dominican Republic"
1589,235,0,National Park - Dominican Republic,"Main Street, Dominican Republic, Dominican Republic"
1590,236,0,Flea Market - Punta Cana,"Main Street, Punta Cana, Dominican Republic"
1591,236,0,Paradise Beach - Punta Cana,"Main Street, Punta Cana, Dominican Republic"
1592,236,0,Golden Sand Beach - Punta Cana,"Main Street, Punta Cana, Dominican Republic"
1593,236,0,Flea Market - Punta Cana,"Main Street, Punta Cana, Dominican Republic"
1594,237,0,Cathedral - Santo Domingo,"Main Street, Santo Domingo, Dominican Republic"
1595,237,0,Botanical Garden - Santo Domingo,"Main Street, Santo Domingo, Dominican Republic"
1596,237,0,Ancient Temple - Santo Domingo,"Main Street, Santo Domingo, Dominican Republic"
1597,237,0,Art Gallery - Santo Domingo,"Main Street, Santo Domingo, Dominican Republic"
1598,238,0,Farmers' Market - George Town,"Main Street, George Town, Grand Cayman"
1599,238,0,National Park - George Town,"Main Street, George Town, Grand Cayman"
1600,238,0,Flea Market - George Town,"Main Street, George Town, Grand Cayman"
1601,238,0,Farmers' Market - George Town,"Main Street, George Town, Grand Cayman"
1602,239,0,Farmers' Market - Grand Cayman,"Main Street, Grand Cayman, Grand Cayman"
1603,239,0,Sunset Cove - Grand Cayman,"Main Street, Grand Cayman, Grand Cayman"
1604,239,0,Paradise Beach - Grand Cayman,"Main Street, Grand Cayman, Grand Cayman"
1605,239,0,History Museum - Grand Cayman,"Main Street, Grand Cayman, Grand Cayman"
1606,240,0,Crystal Bay - Seven Mile Beach,"Main Street, Seven Mile Beach, Grand Cayman"
1607,240,0,National Park - Seven Mile Beach,"Main Street, Seven Mile Beach, Grand Cayman"
1608,240,0,Paradise Beach - Seven Mile Beach,"Main Street, Seven Mile Beach, Grand Cayman"
1609,240,0,Night Market - Seven Mile Beach,"Main Street, Seven Mile Beach, Grand Cayman"
1610,242,0,Sunset Cove - Kingston,"Main Street, Kingston, Jamaica"
1611,242,0,Art Gallery - Kingston,"Main Street, Kingston, Jamaica"
1612,242,0,Sacred Shrine - Kingston,"Main Street, Kingston, Jamaica"
1613,242,0,Art Gallery - Kingston,"Main Street, Kingston, Jamaica"
1614,241,0,Cathedral - Bluefields,"Main Street, Bluefields, Jamaica"
1615,241,0,Grand Mosque - Bluefields,"Main Street, Bluefields, Jamaica"
1616,241,0,Local Bazaar - Bluefields,"Main Street, Bluefields, Jamaica"
1617,241,0,Crystal Bay - Bluefields,"Main Street, Bluefields, Jamaica"
1618,244,0,Crystal Bay - Puerto Rico,"Main Street, Puerto Rico, Puerto Rico"
